id,matches_played,goals_scored,total_yellow_cards,total_red_cards,tournaments_participated,team_id,family_name,given_name,role,matches_managed,matches_officiated,award_name
P-00020,3.0,0.0,1.0,0.0,1,T-12,Hermus,Randee,Defender,,,
P-00034,2.0,0.0,0.0,0.0,1,T-73,Alfonso,not applicable,Forward,,,
P-00036,0.0,0.0,0.0,0.0,0,,Strik,Pleun,Defender,,,
P-00042,0.0,1.0,0.0,0.0,1,,Milutinović,Miloš,Forward,,,
P-00052,3.0,0.0,0.0,0.0,1,T-59,Ró-Ró,not applicable,Defender,,,
P-00064,10.0,30.0,0.0,0.0,2,T-30,Thomis,Élodie,Forward,,,
P-00065,11.0,22.0,4.0,2.0,3,T-03,Ortega,Ariel,Midfielder,,,
P-00077,1.0,0.0,0.0,0.0,1,T-77,Assemoassa,Ludovic,Defender,,,
P-00081,4.0,0.0,0.0,0.0,1,T-28,Bull,Steve,Forward,,,
P-00083,2.0,0.0,0.0,0.0,1,T-46,Murillo,Christina,Defender,,,
P-00086,3.0,0.0,0.0,0.0,1,T-27,Rivas,Roberto,Defender,,,
P-00105,4.0,4.0,0.0,0.0,1,T-60,Holland,Matt,Midfielder,,,
P-00109,3.0,0.0,0.0,0.0,1,T-06,Oliveira,Luís,Forward,,,
P-00111,5.0,0.0,2.0,0.0,3,T-38,Shojaei,Masoud,Midfielder,,,
P-00116,0.0,0.0,0.0,0.0,0,,Romantsev,Oleg,Defender,,,
P-00119,8.0,24.0,0.0,0.0,2,T-41,Riva,Gigi,Forward,,,
P-00137,7.0,0.0,0.0,0.0,2,T-16,Arias,Nataly,Defender,,,
P-00146,4.0,0.0,0.0,0.0,1,T-57,Ostrowski,Marek,Defender,,,
P-00148,4.0,0.0,1.0,0.0,1,T-44,Abe,Yuki,Midfielder,,,
P-00152,0.0,2.0,0.0,0.0,2,,Pandolfini,Egisto,Forward,,,
P-00153,1.0,0.0,0.0,0.0,1,T-87,Baljić,Mirsad,Defender,,,
P-00189,3.0,0.0,1.0,0.0,1,T-64,Gallacher,Kevin,Forward,,,
P-00212,7.0,0.0,1.0,0.0,2,T-22,Sørensen,Thomas,Goalkeeper,,,
P-00232,3.0,0.0,0.0,0.0,1,T-84,Rochet,Sergio,Goalkeeper,,,
P-00234,3.0,0.0,0.0,0.0,1,T-82,Musabah,Muhsin,Goalkeeper,,,
P-00244,2.0,0.0,0.0,0.0,1,T-75,Frei,Fabian,Midfielder,,,
P-00262,6.0,0.0,2.0,0.0,1,T-87,Hadžiabdić,Enver,Defender,,,
P-00266,0.0,0.0,0.0,0.0,0,,Ivan,Marian,Forward,,,
P-00279,0.0,0.0,0.0,0.0,0,,Afonsinho,not applicable,Midfielder,,,
P-00281,0.0,0.0,0.0,0.0,0,,Mock,Hans,Midfielder,,,
P-00300,0.0,0.0,0.0,0.0,0,,Brabrook,Peter,Forward,,,
P-00315,0.0,0.0,0.0,0.0,0,,Boroumand,Parviz,Goalkeeper,,,
P-00325,3.0,0.0,1.0,0.0,1,T-29,Cris,not applicable,Midfielder,,,
P-00336,11.0,33.0,3.0,0.0,2,T-48,Martens,Lieke,Forward,,,
P-00339,3.0,0.0,0.0,0.0,1,T-73,Rodrigo,not applicable,Forward,,,
P-00356,0.0,0.0,0.0,0.0,0,,Joacim,Constant,Defender,,,
P-00369,0.0,0.0,0.0,0.0,0,,Sáinz,Renato,Midfielder,,,
P-00384,2.0,0.0,1.0,0.0,1,T-32,Mohamed,Habib,Defender,,,
P-00386,3.0,0.0,0.0,0.0,1,T-03,López,Noelia,Defender,,,
P-00390,0.0,0.0,0.0,0.0,0,,Park,Jae-seung,Defender,,,
P-00393,12.0,0.0,2.0,0.0,4,T-49,Erceg,Abby,Defender,,,
P-00429,3.0,0.0,1.0,0.0,1,T-55,Núñez,Jorge,Defender,,,
P-00436,4.0,0.0,1.0,0.0,2,T-50,Ebimiekumo,Phoebe,Defender,,,
P-00439,0.0,0.0,0.0,0.0,0,,Younger,Tommy,Goalkeeper,,,
P-00445,3.0,0.0,1.0,0.0,1,T-22,Arnesen,Frank,Midfielder,,,
P-00447,3.0,0.0,0.0,0.0,1,T-28,Vassell,Darius,Forward,,,
P-00452,0.0,0.0,0.0,0.0,0,,Allchurch,Len,Midfielder,,,
P-00465,1.0,0.0,0.0,0.0,1,T-30,Veretout,Jordan,Midfielder,,,
P-00471,17.0,0.0,1.0,0.0,4,T-83,Rampone,Christie,Defender,,,
P-00476,0.0,0.0,0.0,0.0,0,,Jang,Yong-ok,Defender,,,
P-00480,0.0,0.0,0.0,0.0,0,,Im,Seung-hwi,Midfielder,,,
P-00489,0.0,0.0,0.0,0.0,0,,Otero,Celso,Goalkeeper,,,
P-00506,0.0,0.0,0.0,0.0,0,,Stuber,Georges,Goalkeeper,,,
P-00521,0.0,0.0,0.0,0.0,0,,Rui,Mário,Defender,,,
P-00522,0.0,0.0,0.0,0.0,0,,Estrada,Andrés,Midfielder,,,
P-00531,8.0,0.0,0.0,0.0,2,T-06,Preud'homme,Michel,Goalkeeper,,,Golden Glove
P-00548,0.0,0.0,0.0,0.0,0,,Mavrič,Matej,Defender,,,
P-00549,7.0,14.0,0.0,0.0,2,T-57,Lewandowski,Robert,Forward,,,
P-00556,3.0,3.0,1.0,0.0,1,T-53,Rapp,Anita,Forward,,,
P-00573,0.0,0.0,0.0,0.0,0,,Tesse,Manuela,Midfielder,,,
P-00577,0.0,0.0,0.0,0.0,0,,Orlando,not applicable,Defender,,,
P-00585,2.0,0.0,1.0,0.0,1,T-63,Al-Ghamdi,Omar,Midfielder,,,
P-00596,6.0,0.0,0.0,0.0,2,T-01,M'Bolhi,Raïs,Goalkeeper,,,
P-00597,3.0,0.0,0.0,0.0,1,T-47,Benoun,Badr,Defender,,,
P-00618,0.0,0.0,0.0,0.0,0,,Ortuño,Washington,Midfielder,,,
P-00619,5.0,10.0,2.0,0.0,1,T-73,Goikoetxea,Andoni,Forward,,,
P-00640,6.0,6.0,3.0,0.0,2,T-79,Jaziri,Ziad,Forward,,,
P-00643,6.0,6.0,2.0,0.0,1,T-30,Fernández,Luis,Midfielder,,,
