key_id,player_id,family_name,given_name,birth_date,female,goal_keeper,defender,midfielder,forward,count_tournaments,list_tournaments,player_wikipedia_link,tournament_id,tournament_name,year,start_date,host_country,age_at_tournament,total_goals,penalty,own_goal,matches_played,matches_started,matches_as_substitute,positions_played,team_id,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,position,win_rate,avg_goals_per_match,avg_conceded_per_match
1,P-35894,A'Court,Alan,1934-09-30,0,0,0,0,1,1,1958,https://en.wikipedia.org/wiki/Alan_A%27Court,WC-1958,1958 FIFA Men's World Cup,1958,1958-06-08,Sweden,23.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-28,3.0,0.0,3.0,0.0,4.0,4.0,0.0,3.0,3.0,0.0,1.3333333333333333,1.3333333333333333
2,P-29915,Aarønes,Ann Kristin,1973-01-19,1,0,0,1,1,2,"1995, 1999",https://en.wikipedia.org/wiki/Ann_Kristin_Aar%C3%B8nes,WC-1995,1995 FIFA Women's World Cup,1995,1995-06-05,Sweden,22.0,6.0,0.0,0.0,6.0,6.0,0.0,"forward, left winger",T-53,3.0,3.0,0.0,0.0,17.0,0.0,17.0,9.0,1.0,1.0,5.666666666666667,0.0
3,P-03484,Aaronson,Brenden,2000-10-22,0,0,0,0,1,1,2022,https://en.wikipedia.org/wiki/Brenden_Aaronson,WC-2022,2022 FIFA Men's World Cup,2022,2022-11-20,Qatar,22.0,0.0,0.0,0.0,4.0,0.0,4.0,forward,T-83,3.0,1.0,2.0,0.0,2.0,1.0,1.0,5.0,2.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
4,P-04189,Abadzhiev,Stefan,1934-07-03,0,0,0,0,1,1,1966,https://en.wikipedia.org/wiki/Stefan_Abadzhiev,WC-1966,1966 FIFA Men's World Cup,1966,1966-07-11,England,32.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-10,3.0,0.0,0.0,3.0,1.0,8.0,-7.0,0.0,4.0,0.0,0.3333333333333333,2.6666666666666665
5,P-03523,Abalo,Jean-Paul,1975-06-26,0,0,1,0,0,1,2006,https://en.wikipedia.org/wiki/Jean-Paul_Abalo,WC-2006,2006 FIFA Men's World Cup,2006,2006-06-09,Germany,30.0,0.0,0.0,0.0,2.0,2.0,0.0,center back,T-77,3.0,0.0,0.0,3.0,1.0,6.0,-5.0,0.0,4.0,0.0,0.3333333333333333,2.0
6,P-84073,Abam,Michaela,1997-06-13,1,0,0,1,0,1,2019,https://en.wikipedia.org/wiki/Michaela_Abam,WC-2019,2019 FIFA Women's World Cup,2019,2019-06-07,France,21.0,0.0,0.0,0.0,3.0,3.0,0.0,"right midfielder, center midfielder",T-11,3.0,1.0,0.0,2.0,3.0,5.0,-2.0,3.0,3.0,0.3333333333333333,1.0,1.6666666666666667
7,P-35138,Abanda,Patrice,1978-08-03,0,0,1,0,0,1,1998,https://en.wikipedia.org/wiki/Patrice_Abanda,WC-1998,1998 FIFA Men's World Cup,1998,1998-06-10,France,19.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-11,3.0,0.0,2.0,1.0,2.0,5.0,-3.0,2.0,4.0,0.0,0.6666666666666666,1.6666666666666667
8,P-05170,Abass,Hamdya,1982-08-01,1,0,1,0,0,1,2007,https://en.wikipedia.org/wiki/Hamdya_Abass,WC-2007,2007 FIFA Women's World Cup,2007,2007-09-10,China,25.0,0.0,0.0,0.0,2.0,0.0,2.0,defender,T-32,3.0,0.0,0.0,3.0,3.0,15.0,-12.0,0.0,4.0,0.0,1.0,5.0
9,P-75462,Abate,Ignazio,1986-11-12,0,0,1,0,0,1,2014,https://en.wikipedia.org/wiki/Ignazio_Abate,WC-2014,2014 FIFA Men's World Cup,2014,2014-06-12,Brazil,27.0,0.0,0.0,0.0,1.0,1.0,0.0,left back,T-41,3.0,1.0,0.0,2.0,2.0,3.0,-1.0,3.0,3.0,0.3333333333333333,0.6666666666666666,1.0
10,P-78277,Abbadie,Julio,1930-09-07,0,0,0,0,1,1,1954,https://en.wikipedia.org/wiki/Julio_Abbadie,WC-1954,1954 FIFA Men's World Cup,1954,1954-06-16,Switzerland,23.0,2.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-84,2.0,2.0,0.0,0.0,9.0,0.0,9.0,4.0,1.0,1.0,4.5,0.0
