team_id,tournament_id,total_matches,home_matches,performance,year,host_country,home_win_percentage,performance_score,tournaments_participated
T-01,WC-1982,3,2,group stage,1982,Spain,66.66666666666666,6.0,4
T-01,WC-1986,3,2,group stage,1986,Mexico,66.66666666666666,6.0,4
T-01,WC-2010,3,1,group stage,2010,South Africa,33.33333333333333,6.0,4
T-01,WC-2014,4,1,round of 16,2014,Brazil,25.0,5.0,4
T-02,WC-2006,3,1,group stage,2006,Germany,33.33333333333333,6.0,1
T-03,WC-1930,5,4,final,1930,Uruguay,80.0,,21
T-03,WC-1934,1,0,round of 16,1934,Italy,0.0,5.0,21
T-03,WC-1958,3,2,group stage,1958,Sweden,66.66666666666666,6.0,21
T-03,WC-1962,3,1,group stage,1962,Chile,33.33333333333333,6.0,21
T-03,WC-1966,4,3,quarter-finals,1966,England,75.0,4.0,21
T-03,WC-1974,6,4,second group stage,1974,West Germany,66.66666666666666,,21
T-03,WC-1978,7,7,final,1978,Argentina,100.0,,21
T-03,WC-1982,5,4,second group stage,1982,Spain,80.0,,21
T-03,WC-1986,7,6,final,1986,Mexico,85.71428571428571,,21
T-03,WC-1990,7,5,final,1990,Italy,71.42857142857143,,21
T-03,WC-1994,4,3,round of 16,1994,United States,75.0,5.0,21
T-03,WC-1998,5,4,quarter-finals,1998,France,80.0,4.0,21
T-03,WC-2002,3,2,group stage,2002,"Korea, Japan",66.66666666666666,6.0,21
T-03,WC-2003,3,1,group stage,2003,United States,33.33333333333333,6.0,21
T-03,WC-2006,5,3,quarter-finals,2006,Germany,60.0,4.0,21
T-03,WC-2007,3,1,group stage,2007,China,33.33333333333333,6.0,21
T-03,WC-2010,5,4,quarter-finals,2010,South Africa,80.0,4.0,21
T-03,WC-2014,7,4,final,2014,Brazil,57.14285714285714,,21
T-03,WC-2018,4,2,round of 16,2018,Russia,50.0,5.0,21
T-03,WC-2019,3,1,group stage,2019,France,33.33333333333333,6.0,21
T-03,WC-2022,7,5,final,2022,Qatar,71.42857142857143,,21
T-04,WC-1974,3,2,group stage,1974,West Germany,66.66666666666666,6.0,13
T-04,WC-1995,3,0,group stage,1995,Sweden,0.0,6.0,13
T-04,WC-1999,3,2,group stage,1999,United States,66.66666666666666,6.0,13
T-04,WC-2003,3,1,group stage,2003,United States,33.33333333333333,6.0,13
T-04,WC-2006,4,1,round of 16,2006,Germany,25.0,5.0,13
T-04,WC-2007,4,2,quarter-final,2007,China,50.0,,13
T-04,WC-2010,3,1,group stage,2010,South Africa,33.33333333333333,6.0,13
T-04,WC-2011,4,2,quarter-final,2011,Germany,50.0,,13
T-04,WC-2014,3,2,group stage,2014,Brazil,66.66666666666666,6.0,13
T-04,WC-2015,5,3,quarter-final,2015,Canada,60.0,,13
T-04,WC-2018,3,1,group stage,2018,Russia,33.33333333333333,6.0,13
T-04,WC-2019,4,2,round of 16,2019,France,50.0,5.0,13
T-04,WC-2022,4,1,round of 16,2022,Qatar,25.0,5.0,13
T-05,WC-1934,4,2,third-place match,1934,Italy,50.0,,7
T-05,WC-1954,5,4,third-place match,1954,Switzerland,80.0,,7
T-05,WC-1958,3,0,group stage,1958,Sweden,0.0,6.0,7
T-05,WC-1978,6,4,second group stage,1978,Argentina,66.66666666666666,,7
T-05,WC-1982,5,2,second group stage,1982,Spain,40.0,,7
T-05,WC-1990,3,2,group stage,1990,Italy,66.66666666666666,6.0,7
T-05,WC-1998,3,0,group stage,1998,France,0.0,6.0,7
T-06,WC-1930,2,0,group stage,1930,Uruguay,0.0,6.0,14
T-06,WC-1934,1,0,round of 16,1934,Italy,0.0,5.0,14
T-06,WC-1938,1,0,round of 16,1938,France,0.0,5.0,14
T-06,WC-1954,2,0,group stage,1954,Switzerland,0.0,6.0,14
T-06,WC-1970,3,1,group stage,1970,Mexico,33.33333333333333,6.0,14
T-06,WC-1982,5,3,second group stage,1982,Spain,60.0,,14
T-06,WC-1986,7,2,third-place match,1986,Mexico,28.57142857142857,,14
T-06,WC-1990,4,3,round of 16,1990,Italy,75.0,5.0,14
T-06,WC-1994,4,3,round of 16,1994,United States,75.0,5.0,14
T-06,WC-1998,3,2,group stage,1998,France,66.66666666666666,6.0,14
T-06,WC-2002,4,1,round of 16,2002,"Korea, Japan",25.0,5.0,14
T-06,WC-2014,5,3,quarter-finals,2014,Brazil,60.0,4.0,14
T-06,WC-2018,7,4,third-place match,2018,Russia,57.14285714285714,,14
T-06,WC-2022,3,2,group stage,2022,Qatar,66.66666666666666,6.0,14
T-07,WC-1930,2,0,group stage,1930,Uruguay,0.0,6.0,3
T-07,WC-1950,1,0,group stage,1950,Brazil,0.0,6.0,3
T-07,WC-1994,3,1,group stage,1994,United States,33.33333333333333,6.0,3
T-08,WC-2014,3,1,group stage,2014,Brazil,33.33333333333333,6.0,1
T-09,WC-1930,2,1,group stage,1930,Uruguay,50.0,6.0,30
T-09,WC-1934,1,0,round of 16,1934,Italy,0.0,5.0,30
T-09,WC-1938,5,4,third-place match,1938,France,80.0,,30
T-09,WC-1950,6,5,final round,1950,Brazil,83.33333333333334,,30
T-09,WC-1954,3,2,quarter-finals,1954,Switzerland,66.66666666666666,4.0,30
T-09,WC-1958,6,6,final,1958,Sweden,100.0,,30
T-09,WC-1962,6,6,final,1962,Chile,100.0,,30
T-09,WC-1966,3,1,group stage,1966,England,33.33333333333333,6.0,30
T-09,WC-1970,6,6,final,1970,Mexico,100.0,,30
T-09,WC-1974,7,3,third-place match,1974,West Germany,42.857142857142854,,30
T-09,WC-1978,7,6,third-place match,1978,Argentina,85.71428571428571,,30
T-09,WC-1982,5,3,second group stage,1982,Spain,60.0,,30
T-09,WC-1986,5,3,quarter-finals,1986,Mexico,60.0,4.0,30
T-09,WC-1990,4,4,round of 16,1990,Italy,100.0,5.0,30
T-09,WC-1991,3,2,group stage,1991,China,66.66666666666666,6.0,30
T-09,WC-1994,7,5,final,1994,United States,71.42857142857143,,30
T-09,WC-1995,3,2,group stage,1995,Sweden,66.66666666666666,6.0,30
T-09,WC-1998,7,7,final,1998,France,100.0,,30
T-09,WC-1999,6,4,third-place match,1999,United States,66.66666666666666,,30
T-09,WC-2002,7,4,final,2002,"Korea, Japan",57.14285714285714,,30
T-09,WC-2003,4,2,quarter-final,2003,United States,50.0,,30
T-09,WC-2006,5,4,quarter-finals,2006,Germany,80.0,4.0,30
T-09,WC-2007,6,3,final,2007,China,50.0,,30
T-09,WC-2010,5,3,quarter-finals,2010,South Africa,60.0,4.0,30
T-09,WC-2011,4,3,quarter-final,2011,Germany,75.0,,30
T-09,WC-2014,7,6,third-place match,2014,Brazil,85.71428571428571,,30
T-09,WC-2015,4,3,round of 16,2015,Canada,75.0,5.0,30
T-09,WC-2018,5,4,quarter-finals,2018,Russia,80.0,4.0,30
T-09,WC-2019,4,1,round of 16,2019,France,25.0,5.0,30
