tournament_id,player_id,goals_scored,family_name,given_name,position,tournament_name,team_name,team_code,award_name,rank,tournaments_participated,avg_goals_per_tournament
WC-1930,P-05470,1,Laurent,Lucien,Forward,1930 FIFA Men's World Cup,,,,19.0,,1.0
WC-1930,P-06201,1,Vargas Peña,Luis,Forward,1930 FIFA Men's World Cup,,,,19.0,,1.0
WC-1930,P-06424,1,Brown,Jim,Forward,1930 FIFA Men's World Cup,,,,19.0,,1.0
WC-1930,P-08459,2,Subiabre,Guillermo,Forward,1930 FIFA Men's World Cup,,,,9.0,,2.0
WC-1930,P-18615,1,Stanciu,Constantin,Forward,1930 FIFA Men's World Cup,,,,19.0,,1.0
WC-1930,P-18628,5,Cea,Pedro,Forward,1930 FIFA Men's World Cup,,,Silver Boot,2.0,,5.0
WC-1930,P-23897,1,Evaristo,Mario,Forward,1930 FIFA Men's World Cup,,,,19.0,,1.0
WC-1930,P-25760,2,Monti,Luis,Midfielder,1930 FIFA Men's World Cup,,,,9.0,,2.0
WC-1930,P-31066,1,Gayón,Roberto,Forward,1930 FIFA Men's World Cup,,,,19.0,,1.0
WC-1930,P-31959,2,Iriarte,Santos,Forward,1930 FIFA Men's World Cup,,,,9.0,,2.0
WC-1930,P-33565,2,Vujadinović,Đorđe,Forward,1930 FIFA Men's World Cup,,,,9.0,,2.0
WC-1930,P-37326,1,Varallo,Francisco,Forward,1930 FIFA Men's World Cup,,,,19.0,,1.0
WC-1930,P-37361,1,Florie,Tom,Midfielder,1930 FIFA Men's World Cup,,,,19.0,,1.0
WC-1930,P-38674,2,Dorado,Pablo,Forward,1930 FIFA Men's World Cup,,,,9.0,,2.0
WC-1930,P-43349,1,Tirnanić,Aleksandar,Forward,1930 FIFA Men's World Cup,,,,19.0,,1.0
WC-1930,P-43734,3,Bek,Ivan,Forward,1930 FIFA Men's World Cup,,,,4.0,,3.0
WC-1930,P-44010,1,Souza Ferreira,Luis,Forward,1930 FIFA Men's World Cup,,,,19.0,,1.0
WC-1930,P-44201,1,Scarone,Héctor,Forward,1930 FIFA Men's World Cup,,,,19.0,,1.0
WC-1930,P-44916,1,Scopelli,Alejandro,Forward,1930 FIFA Men's World Cup,,,,19.0,,1.0
WC-1930,P-54697,2,Castro,Héctor,Forward,1930 FIFA Men's World Cup,,,,9.0,,2.0
WC-1930,P-56486,8,Stábile,Guillermo,Forward,1930 FIFA Men's World Cup,Argentina,ARG,Golden Boot,1.0,,8.0
WC-1930,P-57352,3,Anselmo,Peregrino,Forward,1930 FIFA Men's World Cup,,,,4.0,,3.0
WC-1930,P-60620,2,Maschinot,André,Forward,1930 FIFA Men's World Cup,,,,9.0,,2.0
WC-1930,P-61338,2,Vidal,Carlos,Forward,1930 FIFA Men's World Cup,,,,9.0,,2.0
WC-1930,P-65185,1,McGhee,Bart,Forward,1930 FIFA Men's World Cup,,,,19.0,,1.0
WC-1930,P-70166,3,Peucelle,Carlos,Forward,1930 FIFA Men's World Cup,,,,4.0,,3.0
WC-1930,P-70294,1,Kovács,Miklós,Forward,1930 FIFA Men's World Cup,,,,19.0,,1.0
WC-1930,P-71973,4,Patenaude,Bert,Forward,1930 FIFA Men's World Cup,,,Bronze Boot,3.0,,4.0
WC-1930,P-75929,1,Marjanović,Blagoje,Forward,1930 FIFA Men's World Cup,,,,19.0,,1.0
WC-1930,P-76546,2,Zumelzú,Adolfo,Midfielder,1930 FIFA Men's World Cup,,,,9.0,,2.0
WC-1930,P-83987,2,Moderato,not applicable,Forward,1930 FIFA Men's World Cup,,,,9.0,,2.0
WC-1930,P-89481,3,Rosas,Manuel,Defender,1930 FIFA Men's World Cup,,,,4.0,,3.0
WC-1930,P-91171,3,Preguinho,not applicable,Forward,1930 FIFA Men's World Cup,,,,4.0,,3.0
WC-1930,P-91295,1,Deşu,Adalbert,Forward,1930 FIFA Men's World Cup,,,,19.0,,1.0
WC-1930,P-94135,1,Carreño,Juan,Forward,1930 FIFA Men's World Cup,,,,19.0,,1.0
WC-1930,P-99087,1,Langiller,Marcel,Forward,1930 FIFA Men's World Cup,,,,19.0,,1.0
WC-1934,P-02091,1,Kroon,Knut,Forward,1934 FIFA Men's World Cup,,,,17.0,,1.0
WC-1934,P-03545,1,Guaita,Enrique,Forward,1934 FIFA Men's World Cup,,,,17.0,,1.0
WC-1934,P-03638,3,Orsi,Raimundo,Forward,1934 FIFA Men's World Cup,,,,4.0,,3.0
WC-1934,P-04241,1,Kobierski,Stanislaus,Forward,1934 FIFA Men's World Cup,,,,17.0,,1.0
WC-1934,P-05609,1,Sesta,Karl,Defender,1934 FIFA Men's World Cup,,,,17.0,,1.0
WC-1934,P-05719,1,Zischek,Karl,Forward,1934 FIFA Men's World Cup,,,,17.0,,1.0
WC-1934,P-09730,1,Leônidas,not applicable,Forward,1934 FIFA Men's World Cup,Brazil,BRA,Golden Boot,17.0,2.0,4.0
WC-1934,P-11019,1,Belis,Ernesto,Defender,1934 FIFA Men's World Cup,,,,17.0,,1.0
WC-1934,P-11520,1,Vincze,Jenő,Forward,1934 FIFA Men's World Cup,,,,17.0,,1.0
WC-1934,P-11865,1,Sindelar,Matthias,Forward,1934 FIFA Men's World Cup,,,,17.0,,1.0
WC-1934,P-13166,1,Verriest,Georges,Midfielder,1934 FIFA Men's World Cup,,,,17.0,,1.0
WC-1934,P-13470,1,Svoboda,František,Forward,1934 FIFA Men's World Cup,,,,17.0,,1.0
WC-1934,P-28239,2,Fawzi,Abdulrahman,Forward,1934 FIFA Men's World Cup,,,,6.0,,2.0
WC-1934,P-30818,1,Noack,Rudolf,Forward,1934 FIFA Men's World Cup,,,,17.0,,1.0
WC-1934,P-34536,2,Meazza,Giuseppe,Midfielder,1934 FIFA Men's World Cup,,,,6.0,2.0,1.5
WC-1934,P-38753,2,Lehner,Ernst,Forward,1934 FIFA Men's World Cup,,,,6.0,,2.0
WC-1934,P-39512,2,Ferrari,Giovanni,Forward,1934 FIFA Men's World Cup,,,,6.0,,2.0
WC-1934,P-40752,1,Regueiro,Luis,Forward,1934 FIFA Men's World Cup,,,,17.0,,1.0
WC-1934,P-42669,1,Teleki,Pál,Forward,1934 FIFA Men's World Cup,,,,17.0,,1.0
