tournament_id,tournament_name,match_id,stage_name,match_date,home_team_name,away_team_name,home_team_score,away_team_score,goal_difference,result,dominant_win,close_match
WC-1930,1930 FIFA Men's World Cup,M-1930-09,group stage,1930-07-18,Uruguay,Peru,1,0,1,Win,False,True
WC-1930,1930 FIFA Men's World Cup,M-1930-14,group stage,1930-07-21,Uruguay,Romania,4,0,4,Win,True,False
WC-1930,1930 FIFA Men's World Cup,M-1930-17,semi-finals,1930-07-27,Uruguay,Yugoslavia,6,1,5,Win,True,False
WC-1930,1930 FIFA Men's World Cup,M-1930-18,final,1930-07-30,Uruguay,Argentina,4,2,2,Win,False,False
WC-1934,1934 FIFA Men's World Cup,M-1934-05,round of 16,1934-05-27,Italy,United States,7,1,6,Win,True,False
WC-1934,1934 FIFA Men's World Cup,M-1934-12,quarter-finals,1934-05-31,Italy,Spain,1,1,0,Draw,False,False
WC-1934,1934 FIFA Men's World Cup,M-1934-13,quarter-finals,1934-06-01,Italy,Spain,1,0,1,Win,False,True
WC-1934,1934 FIFA Men's World Cup,M-1934-15,semi-finals,1934-06-03,Italy,Austria,1,0,1,Win,False,True
WC-1934,1934 FIFA Men's World Cup,M-1934-17,final,1934-06-10,Italy,Czechoslovakia,2,1,1,Win,False,True
WC-1938,1938 FIFA Men's World Cup,M-1938-05,round of 16,1938-06-05,Italy,Norway,2,1,1,Win,False,True
WC-1938,1938 FIFA Men's World Cup,M-1938-12,quarter-finals,1938-06-12,Italy,France,3,1,2,Win,False,False
WC-1938,1938 FIFA Men's World Cup,M-1938-16,semi-finals,1938-06-16,Italy,Brazil,2,1,1,Win,False,True
WC-1938,1938 FIFA Men's World Cup,M-1938-18,final,1938-06-19,Italy,Hungary,4,2,2,Win,False,False
WC-1950,1950 FIFA Men's World Cup,M-1950-15,group stage,1950-07-02,Uruguay,Bolivia,8,0,8,Win,True,False
WC-1950,1950 FIFA Men's World Cup,M-1950-18,final round,1950-07-09,Uruguay,Spain,2,2,0,Draw,False,False
WC-1950,1950 FIFA Men's World Cup,M-1950-20,final round,1950-07-13,Uruguay,Sweden,3,2,1,Win,False,True
WC-1950,1950 FIFA Men's World Cup,M-1950-22,final round,1950-07-16,Uruguay,Brazil,2,1,1,Win,False,True
WC-1954,1954 FIFA Men's World Cup,M-1954-07,group stage,1954-06-17,West Germany,Turkey,4,1,3,Win,True,False
WC-1954,1954 FIFA Men's World Cup,M-1954-13,group stage,1954-06-20,Hungary,West Germany,8,3,5,Loss,True,False
WC-1954,1954 FIFA Men's World Cup,M-1954-17,group stage,1954-06-23,West Germany,Turkey,7,2,5,Win,True,False
WC-1954,1954 FIFA Men's World Cup,M-1954-22,quarter-finals,1954-06-27,West Germany,Yugoslavia,2,0,2,Win,False,False
WC-1954,1954 FIFA Men's World Cup,M-1954-24,semi-finals,1954-06-30,West Germany,Austria,6,1,5,Win,True,False
WC-1954,1954 FIFA Men's World Cup,M-1954-26,final,1954-07-04,West Germany,Hungary,3,2,1,Win,False,True
WC-1958,1958 FIFA Men's World Cup,M-1958-07,group stage,1958-06-08,Brazil,Austria,3,0,3,Win,True,False
WC-1958,1958 FIFA Men's World Cup,M-1958-14,group stage,1958-06-11,Brazil,England,0,0,0,Draw,False,False
WC-1958,1958 FIFA Men's World Cup,M-1958-23,group stage,1958-06-15,Brazil,Soviet Union,2,0,2,Win,False,False
WC-1958,1958 FIFA Men's World Cup,M-1958-28,quarter-finals,1958-06-19,Brazil,Wales,1,0,1,Win,False,True
WC-1958,1958 FIFA Men's World Cup,M-1958-32,semi-finals,1958-06-24,Brazil,France,5,2,3,Win,True,False
WC-1958,1958 FIFA Men's World Cup,M-1958-35,final,1958-06-29,Brazil,Sweden,5,2,3,Win,True,False
WC-1962,1962 FIFA Men's World Cup,M-1962-03,group stage,1962-05-30,Brazil,Mexico,2,0,2,Win,False,False
WC-1962,1962 FIFA Men's World Cup,M-1962-11,group stage,1962-06-02,Brazil,Czechoslovakia,0,0,0,Draw,False,False
WC-1962,1962 FIFA Men's World Cup,M-1962-19,group stage,1962-06-06,Brazil,Spain,2,1,1,Win,False,True
WC-1962,1962 FIFA Men's World Cup,M-1962-25,quarter-finals,1962-06-10,Brazil,England,3,1,2,Win,False,False
WC-1962,1962 FIFA Men's World Cup,M-1962-29,semi-finals,1962-06-13,Brazil,Chile,4,2,2,Win,False,False
WC-1962,1962 FIFA Men's World Cup,M-1962-32,final,1962-06-17,Brazil,Czechoslovakia,3,1,2,Win,False,False
