team_id,team_name,penalties_scored,penalties_attempted,conversion_rate
T-03,Argentina,25,31,80.64516129032258
T-04,Australia,1,3,33.33333333333333
T-06,Belgium,5,5,100.0
T-09,Brazil,23,32,71.875
T-10,Bulgaria,3,4,75.0
T-13,Chile,2,5,40.0
T-14,China,8,10,80.0
T-16,Colombia,3,5,60.0
T-17,Costa Rica,8,10,80.0
T-18,Croatia,14,18,77.77777777777779
T-22,Denmark,2,5,40.0
T-28,England,14,24,58.333333333333336
T-30,France,25,34,73.52941176470588
T-31,Germany,9,9,100.0
T-32,Ghana,2,4,50.0
T-33,Greece,3,4,75.0
T-41,Italy,13,20,65.0
T-44,Japan,7,12,58.333333333333336
T-46,Mexico,2,7,28.57142857142857
T-47,Morocco,3,4,75.0
T-48,Netherlands,11,17,64.70588235294117
T-53,Norway,8,10,80.0
T-55,Paraguay,5,5,100.0
T-58,Portugal,3,5,60.0
T-60,Republic of Ireland,7,10,70.0
T-61,Romania,8,11,72.72727272727273
T-62,Russia,7,9,77.77777777777779
T-71,South Korea,5,5,100.0
T-73,Spain,13,22,59.09090909090909
T-74,Sweden,8,11,72.72727272727273
T-75,Switzerland,0,3,0.0
T-81,Ukraine,3,4,75.0
T-83,United States,11,14,78.57142857142857
T-84,Uruguay,4,5,80.0
T-86,West Germany,13,14,92.85714285714286
T-87,Yugoslavia,2,5,40.0
