tournament_id,player_id,family_name,given_name,minute_regulation,minute_stoppage,match_id
WC-1930,P-91295,Deşu,Adalbert,1,0,M-1930-04
WC-1934,P-38753,Lehner,Ernst,1,0,M-1934-16
WC-1938,P-02281,Veinante,Émile,1,0,M-1938-03
WC-1938,P-97601,Nyberg,Arne,1,0,M-1938-15
WC-1962,P-21188,Albert,Flórián,1,0,M-1962-16
WC-1962,P-88346,Mašek,Václav,1,0,M-1962-23
WC-1966,P-87203,Pak,Seung-zin,1,0,M-1966-26
WC-1978,P-16067,Lacombe,Bernard,1,0,M-1978-02
WC-1982,P-02675,Robson,Bryan,1,0,M-1982-08
WC-1986,P-12940,Butragueño,Emilio,1,0,M-1986-20
