host_country,tournaments_hosted,count_teams,tournament_id,total_matches,average_matches_per_tournament,total_teams
Argentina,1,16,WC-1978,38,38.0,16.0
Brazil,2,45,WC-1950,22,11.0,22.5
Brazil,2,45,WC-2014,64,32.0,22.5
Canada,1,24,WC-2015,52,52.0,24.0
Chile,1,16,WC-1962,32,32.0,16.0
China,2,28,WC-1991,26,13.0,14.0
China,2,28,WC-2007,32,16.0,14.0
England,1,16,WC-1966,32,32.0,16.0
France,3,71,WC-1938,18,6.0,23.666666666666668
France,3,71,WC-1998,64,21.333333333333332,23.666666666666668
France,3,71,WC-2019,52,17.333333333333332,23.666666666666668
Germany,2,48,WC-2006,64,32.0,24.0
Germany,2,48,WC-2011,32,16.0,24.0
Italy,2,40,WC-1934,17,8.5,20.0
Italy,2,40,WC-1990,52,26.0,20.0
"Korea, Japan",1,32,WC-2002,64,64.0,32.0
Mexico,2,40,WC-1970,32,16.0,20.0
Mexico,2,40,WC-1986,52,26.0,20.0
Qatar,1,32,WC-2022,64,64.0,32.0
Russia,1,32,WC-2018,64,64.0,32.0
South Africa,1,32,WC-2010,64,64.0,32.0
Spain,1,24,WC-1982,52,52.0,24.0
Sweden,2,28,WC-1958,35,17.5,14.0
Sweden,2,28,WC-1995,26,13.0,14.0
Switzerland,1,16,WC-1954,26,26.0,16.0
United States,3,56,WC-1994,52,17.333333333333332,18.666666666666668
United States,3,56,WC-1999,32,10.666666666666666,18.666666666666668
United States,3,56,WC-2003,32,10.666666666666666,18.666666666666668
Uruguay,1,13,WC-1930,18,18.0,13.0
West Germany,1,16,WC-1974,38,38.0,16.0
