tournament_id,home_team_score,away_team_score,highest_team_score
WC-1930,6,3,6
WC-1934,7,2,7
WC-1938,8,5,8
WC-1950,8,2,8
WC-1954,9,5,9
WC-1958,7,3,7
WC-1962,6,4,6
WC-1966,5,3,5
WC-1970,5,3,5
WC-1974,9,7,9
WC-1978,6,5,6
WC-1982,10,3,10
WC-1986,6,5,6
WC-1990,5,5,5
WC-1991,7,8,8
WC-1994,6,4,6
WC-1995,8,6,8
WC-1998,6,4,6
WC-1999,7,5,7
WC-2002,8,5,8
WC-2003,7,7,7
WC-2006,6,4,6
WC-2007,11,5,11
WC-2010,7,4,7
WC-2011,4,4,4
WC-2014,4,7,7
WC-2015,10,5,10
WC-2018,6,3,6
WC-2019,13,5,13
WC-2022,7,4,7
