year,tournament_name_match,stage_name_match,team_name,goals_for,goals_against,goal_differential,win,lose,draw_team,match_id,win_rate,avg_goals_per_match,avg_conceded_per_match
1930,1930 FIFA Men's World Cup,final,Argentina,2,4,-2.0,0,1,0,1,0.0,2.0,4.0
1930,1930 FIFA Men's World Cup,final,Uruguay,4,2,2.0,1,0,0,1,100.0,4.0,2.0
1930,1930 FIFA Men's World Cup,group stage,Argentina,10,4,2.0,3,0,0,3,100.0,3.3333333333333335,1.3333333333333333
1930,1930 FIFA Men's World Cup,group stage,Belgium,0,4,-2.0,0,2,0,2,0.0,0.0,2.0
1930,1930 FIFA Men's World Cup,group stage,Bolivia,0,8,-4.0,0,2,0,2,0.0,0.0,4.0
1930,1930 FIFA Men's World Cup,group stage,Brazil,5,2,1.5,1,1,0,2,50.0,2.5,1.0
1930,1930 FIFA Men's World Cup,group stage,Chile,5,3,0.6666666666666666,2,1,0,3,66.66666666666666,1.6666666666666667,1.0
1930,1930 FIFA Men's World Cup,group stage,France,4,3,0.3333333333333333,1,2,0,3,33.33333333333333,1.3333333333333333,1.0
1930,1930 FIFA Men's World Cup,group stage,Mexico,4,13,-3.0,0,3,0,3,0.0,1.3333333333333333,4.333333333333333
1930,1930 FIFA Men's World Cup,group stage,Paraguay,1,3,-1.0,1,1,0,2,50.0,0.5,1.5
1930,1930 FIFA Men's World Cup,group stage,Peru,1,4,-1.5,0,2,0,2,0.0,0.5,2.0
1930,1930 FIFA Men's World Cup,group stage,Romania,3,5,-1.0,1,1,0,2,50.0,1.5,2.5
1930,1930 FIFA Men's World Cup,group stage,United States,6,0,3.0,2,0,0,2,100.0,3.0,0.0
1930,1930 FIFA Men's World Cup,group stage,Uruguay,5,0,2.5,2,0,0,2,100.0,2.5,0.0
1930,1930 FIFA Men's World Cup,group stage,Yugoslavia,6,1,2.5,2,0,0,2,100.0,3.0,0.5
1930,1930 FIFA Men's World Cup,semi-finals,Argentina,6,1,5.0,1,0,0,1,100.0,6.0,1.0
1930,1930 FIFA Men's World Cup,semi-finals,United States,1,6,-5.0,0,1,0,1,0.0,1.0,6.0
1930,1930 FIFA Men's World Cup,semi-finals,Uruguay,6,1,5.0,1,0,0,1,100.0,6.0,1.0
1930,1930 FIFA Men's World Cup,semi-finals,Yugoslavia,1,6,-5.0,0,1,0,1,0.0,1.0,6.0
1934,1934 FIFA Men's World Cup,final,Czechoslovakia,1,2,-1.0,0,1,0,1,0.0,1.0,2.0
1934,1934 FIFA Men's World Cup,final,Italy,2,1,1.0,1,0,0,1,100.0,2.0,1.0
1934,1934 FIFA Men's World Cup,quarter-finals,Austria,2,1,1.0,1,0,0,1,100.0,2.0,1.0
1934,1934 FIFA Men's World Cup,quarter-finals,Czechoslovakia,3,2,1.0,1,0,0,1,100.0,3.0,2.0
1934,1934 FIFA Men's World Cup,quarter-finals,Germany,2,1,1.0,1,0,0,1,100.0,2.0,1.0
1934,1934 FIFA Men's World Cup,quarter-finals,Hungary,1,2,-1.0,0,1,0,1,0.0,1.0,2.0
1934,1934 FIFA Men's World Cup,quarter-finals,Italy,2,1,0.5,1,0,1,2,50.0,1.0,0.5
1934,1934 FIFA Men's World Cup,quarter-finals,Spain,1,2,-0.5,0,1,1,2,0.0,0.5,1.0
1934,1934 FIFA Men's World Cup,quarter-finals,Sweden,1,2,-1.0,0,1,0,1,0.0,1.0,2.0
1934,1934 FIFA Men's World Cup,quarter-finals,Switzerland,2,3,-1.0,0,1,0,1,0.0,2.0,3.0
1934,1934 FIFA Men's World Cup,round of 16,Argentina,2,3,-1.0,0,1,0,1,0.0,2.0,3.0
1934,1934 FIFA Men's World Cup,round of 16,Austria,3,2,1.0,1,0,0,1,100.0,3.0,2.0
1934,1934 FIFA Men's World Cup,round of 16,Belgium,2,5,-3.0,0,1,0,1,0.0,2.0,5.0
1934,1934 FIFA Men's World Cup,round of 16,Brazil,1,3,-2.0,0,1,0,1,0.0,1.0,3.0
1934,1934 FIFA Men's World Cup,round of 16,Czechoslovakia,2,1,1.0,1,0,0,1,100.0,2.0,1.0
1934,1934 FIFA Men's World Cup,round of 16,Egypt,2,4,-2.0,0,1,0,1,0.0,2.0,4.0
1934,1934 FIFA Men's World Cup,round of 16,France,2,3,-1.0,0,1,0,1,0.0,2.0,3.0
1934,1934 FIFA Men's World Cup,round of 16,Germany,5,2,3.0,1,0,0,1,100.0,5.0,2.0
1934,1934 FIFA Men's World Cup,round of 16,Hungary,4,2,2.0,1,0,0,1,100.0,4.0,2.0
1934,1934 FIFA Men's World Cup,round of 16,Italy,7,1,6.0,1,0,0,1,100.0,7.0,1.0
1934,1934 FIFA Men's World Cup,round of 16,Netherlands,2,3,-1.0,0,1,0,1,0.0,2.0,3.0
1934,1934 FIFA Men's World Cup,round of 16,Romania,1,2,-1.0,0,1,0,1,0.0,1.0,2.0
1934,1934 FIFA Men's World Cup,round of 16,Spain,3,1,2.0,1,0,0,1,100.0,3.0,1.0
1934,1934 FIFA Men's World Cup,round of 16,Sweden,3,2,1.0,1,0,0,1,100.0,3.0,2.0
1934,1934 FIFA Men's World Cup,round of 16,Switzerland,3,2,1.0,1,0,0,1,100.0,3.0,2.0
1934,1934 FIFA Men's World Cup,round of 16,United States,1,7,-6.0,0,1,0,1,0.0,1.0,7.0
1934,1934 FIFA Men's World Cup,semi-finals,Austria,0,1,-1.0,0,1,0,1,0.0,0.0,1.0
1934,1934 FIFA Men's World Cup,semi-finals,Czechoslovakia,3,1,2.0,1,0,0,1,100.0,3.0,1.0
1934,1934 FIFA Men's World Cup,semi-finals,Germany,1,3,-2.0,0,1,0,1,0.0,1.0,3.0
1934,1934 FIFA Men's World Cup,semi-finals,Italy,1,0,1.0,1,0,0,1,100.0,1.0,0.0
1934,1934 FIFA Men's World Cup,third-place match,Austria,2,3,-1.0,0,1,0,1,0.0,2.0,3.0
1934,1934 FIFA Men's World Cup,third-place match,Germany,3,2,1.0,1,0,0,1,100.0,3.0,2.0
1938,1938 FIFA Men's World Cup,final,Hungary,2,4,-2.0,0,1,0,1,0.0,2.0,4.0
1938,1938 FIFA Men's World Cup,final,Italy,4,2,2.0,1,0,0,1,100.0,4.0,2.0
1938,1938 FIFA Men's World Cup,quarter-finals,Brazil,3,2,0.5,1,0,1,2,50.0,1.5,1.0
1938,1938 FIFA Men's World Cup,quarter-finals,Cuba,0,8,-8.0,0,1,0,1,0.0,0.0,8.0
1938,1938 FIFA Men's World Cup,quarter-finals,Czechoslovakia,2,3,-0.5,0,1,1,2,0.0,1.0,1.5
1938,1938 FIFA Men's World Cup,quarter-finals,France,1,3,-2.0,0,1,0,1,0.0,1.0,3.0
1938,1938 FIFA Men's World Cup,quarter-finals,Hungary,2,0,2.0,1,0,0,1,100.0,2.0,0.0
1938,1938 FIFA Men's World Cup,quarter-finals,Italy,3,1,2.0,1,0,0,1,100.0,3.0,1.0
1938,1938 FIFA Men's World Cup,quarter-finals,Sweden,8,0,8.0,1,0,0,1,100.0,8.0,0.0
1938,1938 FIFA Men's World Cup,quarter-finals,Switzerland,0,2,-2.0,0,1,0,1,0.0,0.0,2.0
1938,1938 FIFA Men's World Cup,round of 16,Belgium,1,3,-2.0,0,1,0,1,0.0,1.0,3.0
1938,1938 FIFA Men's World Cup,round of 16,Brazil,6,5,1.0,1,0,0,1,100.0,6.0,5.0
1938,1938 FIFA Men's World Cup,round of 16,Cuba,5,4,0.5,1,0,1,2,50.0,2.5,2.0
1938,1938 FIFA Men's World Cup,round of 16,Czechoslovakia,3,0,3.0,1,0,0,1,100.0,3.0,0.0
1938,1938 FIFA Men's World Cup,round of 16,Dutch East Indies,0,6,-6.0,0,1,0,1,0.0,0.0,6.0
1938,1938 FIFA Men's World Cup,round of 16,France,3,1,2.0,1,0,0,1,100.0,3.0,1.0
1938,1938 FIFA Men's World Cup,round of 16,Germany,3,5,-1.0,0,1,1,2,0.0,1.5,2.5
1938,1938 FIFA Men's World Cup,round of 16,Hungary,6,0,6.0,1,0,0,1,100.0,6.0,0.0
1938,1938 FIFA Men's World Cup,round of 16,Italy,2,1,1.0,1,0,0,1,100.0,2.0,1.0
1938,1938 FIFA Men's World Cup,round of 16,Netherlands,0,3,-3.0,0,1,0,1,0.0,0.0,3.0
1938,1938 FIFA Men's World Cup,round of 16,Norway,1,2,-1.0,0,1,0,1,0.0,1.0,2.0
